,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
17,926985,05/08/2011,within a day,50%,0%,1,1,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.1267,11.57033,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Bathtub"", ""Hangers"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Heating"", ""Hair dryer"", ""Essentials"", ""Kitchen"", ""Dishes and silverware"", ""Room-darkening shades"", ""Wifi"", ""Body soap"", ""Shampoo"", ""Refrigerator"", ""Bed linens""]",$78.00,3,5,3.0,5.0,t,0,0,0,0,54,0,0,12/12/2011,11/06/2023,4.78,4.91,4.81,4.85,4.89,4.94,4.58,f,1,1,0,0,0.35
18,934964,07/08/2011,within a day,100%,71%,1,1,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.1295,11.56788,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Courtyard view"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Fire extinguisher"", ""Hangers"", ""Microwave"", ""Room-darkening shades"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Refrigerator"", ""Smoking allowed"", ""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Toaster""]",$130.00,3,24,3.0,24.0,t,7,26,52,142,98,8,2,27/09/2011,24/09/2024,4.82,4.83,4.69,4.96,4.97,4.91,4.74,f,1,1,0,0,0.62
19,938552,08/08/2011,within an hour,100%,96%,2,2,"['email', 'phone']",Maxvorstadt,48.15590668,11.57243919,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Hot water kettle"", ""Single level home"", ""Dishes and silverware"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Laundromat nearby"", ""Iron"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Shampoo"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""22 inch TV with standard cable"", ""Body soap""]",$125.00,3,7,3.0,7.0,t,4,27,35,140,237,25,2,01/05/2012,17/09/2024,4.79,4.92,4.96,4.94,4.86,4.93,4.8,f,2,0,2,0,1.57
21,944911,09/08/2011,within a few hours,100%,15%,1,1,"['email', 'phone']",Neuhausen-Nymphenburg,48.1495,11.54115,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Washer"", ""TV with standard cable"", ""Dryer"", ""Essentials"", ""Kitchen"", ""Smoking allowed""]",$120.00,1,5,1.0,5.0,t,0,0,0,0,67,3,0,29/08/2011,18/08/2024,4.77,4.74,4.6,4.85,4.85,4.83,4.68,f,1,1,0,0,0.42
22,949632,10/08/2011,within an hour,100%,97%,2,2,"['email', 'phone']",Schwabing-West,48.16304,11.56855,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Coffee maker"", ""Dryer"", ""Single level home"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Elevator"", ""Bed linens"", ""Shared patio or balcony"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Private entrance"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Refrigerator"", ""Smoking allowed"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$45.00,30,210,29.1,210.0,t,0,0,0,77,73,5,0,01/08/2012,04/08/2024,4.71,4.82,4.58,4.92,4.82,4.89,4.71,f,2,0,2,0,0.49
23,949998,10/08/2011,within an hour,100%,100%,1,1,"['email', 'phone']",Ramersdorf-Perlach,48.10026,11.6068,Entire townhouse,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Coffee maker: espresso machine"", ""Dishes and silverware"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Indoor fireplace: wood-burning"", ""Cleaning products"", ""Hangers"", ""Laundromat nearby"", ""Iron"", ""Garden view"", ""Free street parking"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Siemens gas stove"", ""Drying rack for clothing"", ""Shampoo"", ""Baking sheet"", ""Nivea body soap"", ""Smoke alarm"", ""Central heating"", ""Siemens refrigerator"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Toaster""]",$141.00,2,30,2.0,30.0,t,1,16,16,165,290,26,3,22/09/2011,24/09/2024,4.91,4.91,4.94,4.97,4.96,4.69,4.78,f,1,1,0,0,1.83
24,950268,10/08/2011,within a few hours,100%,85%,2,2,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12279,11.56028,Private room in rental unit,Private room,3,1.0,1 shared bath,1.0,2.0,"[""Heating"", ""Shared backyard"", ""Coffee maker: french press"", ""Children\u2019s books and toys"", ""Siemens electric stove"", ""Courtyard view"", ""Exercise equipment: yoga mat"", ""Dishes and silverware"", ""Host greets you"", ""Shared patio or balcony"", ""Free washer \u2013 In unit"", ""Hangers"", ""Iron"", ""Garden view"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",$145.00,4,10,4.0,10.0,t,10,20,35,290,280,35,3,24/09/2011,13/09/2024,4.86,4.88,4.82,4.82,4.92,4.81,4.74,f,2,1,1,0,1.77
26,14870835,29/04/2014,within a few hours,100%,69%,1,3,"['email', 'phone']",Au-Haidhausen,48.1209399,11.57696827,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Exercise equipment: stationary bike, yoga mat"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Tivoli sound system with Bluetooth and aux""]",$195.00,7,30,7.0,30.0,t,0,0,0,257,77,6,1,15/04/2012,23/09/2024,4.82,4.79,4.87,4.87,4.86,4.85,4.75,f,1,1,0,0,0.51
27,961042,12/08/2011,within an hour,100%,100%,1,1,"['email', 'phone']",Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08972,11.51393,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Hot water kettle"", ""Coffee maker"", ""Sony Soundbar Bluetooth sound system"", ""Single level home"", ""Outdoor shower"", ""Dishes and silverware"", ""Host greets you"", ""Bed linens"", ""Children\u2019s bikes"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Dedicated workspace"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Iron"", ""Free street parking"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Private entrance"", ""50 inch HDTV with Chromecast, Netflix"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Window guards"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Paid washer \u2013 In building"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Wifi"", ""Exterior security cameras on property"", ""Mini fridge"", ""Body soap"", ""Bikes""]",$101.00,4,30,4.0,30.0,t,8,22,35,35,268,14,0,21/09/2011,25/08/2024,4.65,4.75,4.85,4.76,4.77,4.46,4.61,f,1,0,1,0,1.69
28,971759,15/08/2011,within an hour,100%,100%,1,2,"['email', 'phone', 'work_email']",Berg am Laim,48.1177,11.64272,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Bosch stainless steel oven"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""Sun loungers"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Patio or balcony"", ""Bathtub"", ""Washer \u2013\u00a0In building"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Toaster""]",$78.00,60,93,60.0,1125.0,t,4,4,5,83,144,16,1,29/04/2012,31/08/2024,4.77,4.83,4.4,4.93,4.95,4.63,4.59,t,1,0,1,0,0.95
29,959791,12/08/2011,within an hour,100%,100%,5,5,"['email', 'phone', 'work_email']",Neuhausen-Nymphenburg,48.15797,11.51046,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Stainless steel electric stove"", ""Microwave"", ""Iron"", ""Table corner guards"", ""Free street parking"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""First aid kit"", ""Conditioner"", ""Essentials"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$68.00,180,720,180.0,720.0,t,0,0,0,23,18,1,0,05/10/2011,29/02/2024,4.89,4.83,4.94,5.0,5.0,4.83,4.61,f,1,1,0,0,0.11
30,972246,15/08/2011,within an hour,100%,97%,1,1,"['email', 'phone']",Untergiesing-Harlaching,48.09092,11.56088,Private room in rental unit,Private room,6,1.0,1 private bath,2.0,6.0,"[""Smoke alarm"", ""TV"", ""Cooking basics"", ""Hot water"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Board games"", ""Essentials"", ""Kitchen"", ""Dishes and silverware"", ""Free street parking"", ""Wifi"", ""Host greets you"", ""Stove"", ""Shampoo"", ""Refrigerator""]",$150.00,3,14,3.0,1125.0,t,11,38,64,89,452,39,2,29/09/2011,31/08/2024,4.88,4.91,4.88,4.98,4.94,4.82,4.8,t,1,0,1,0,2.86
32,972992,15/08/2011,within an hour,100%,100%,1,1,"['email', 'phone']",Maxvorstadt,48.15017,11.56221,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Backyard"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""TV"", ""Iron"", ""Hot water"", ""Hair dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen""]",$978.00,3,90,3.0,90.0,t,6,16,27,190,363,50,4,22/09/2012,11/09/2024,4.86,4.9,4.83,4.95,4.93,4.95,4.91,f,1,0,1,0,2.48
33,976495,16/08/2011,within a day,100%,78%,1,1,"['email', 'phone']",Schwabing-Freimann,48.16618,11.58973,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Shared pool"", ""Heating"", ""Coffee maker: french press"", ""Hot water kettle"", ""Dryer"", ""Park view"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Cleaning products"", ""Elevator"", ""Hangers"", ""Sound system"", ""Microwave"", ""Iron"", ""Room-darkening shades"", ""Trash compactor"", ""Paid parking off premises"", ""AEG refrigerator"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Smoking allowed"", ""Baking sheet"", ""Smoke alarm"", ""Paid parking on premises"", ""Paid washer \u2013 In building"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$125.00,2,1125,2.0,1125.0,t,8,14,14,200,58,7,1,04/10/2011,02/09/2024,4.74,4.72,4.76,4.84,4.88,4.81,4.45,f,1,1,0,0,0.37
